osmid,y,x,highway,street_count,elevation,ref,geometry
60685476,-23.5484984,-46.6403711,traffic_signals,4,738.0,,POINT (-46.6403711 -23.5484984)
60685613,-23.5448939,-46.6387906,,3,754.0,,POINT (-46.6387906 -23.5448939)
60685619,-23.5423589,-46.6402358,traffic_signals,4,760.0,,POINT (-46.6402358 -23.5423589)
60685620,-23.5422929,-46.6403522,traffic_signals,4,762.0,,POINT (-46.6403522 -23.5422929)
60685622,-23.5427306,-46.6383847,,3,752.0,,POINT (-46.6383847 -23.5427306)
60685624,-23.5424634,-46.6379555,traffic_signals,4,750.0,,POINT (-46.6379555 -23.5424634)
60685633,-23.5417084,-46.6367287,traffic_signals,5,763.0,,POINT (-46.6367287 -23.5417084)
60685635,-23.5408823,-46.636466,traffic_signals,3,758.0,,POINT (-46.636466 -23.5408823)
60685636,-23.5399767,-46.6362899,traffic_signals,4,754.0,,POINT (-46.6362899 -23.5399767)
60685647,-23.5404993,-46.6376895,traffic_signals,4,764.0,,POINT (-46.6376895 -23.5404993)
60685648,-23.5403957,-46.6377642,traffic_signals,4,760.0,,POINT (-46.6377642 -23.5403957)
60685649,-23.5396931,-46.6382755,traffic_signals,4,750.0,,POINT (-46.6382755 -23.5396931)
60685651,-23.5398622,-46.6367038,traffic_signals,4,758.0,,POINT (-46.6367038 -23.5398622)
60685686,-23.5395181,-46.6363332,,3,758.0,,POINT (-46.6363332 -23.5395181)
60685693,-23.541116,-46.6388756,traffic_signals,4,754.0,,POINT (-46.6388756 -23.541116)
60685696,-23.5412184,-46.639009,traffic_signals,4,758.0,,POINT (-46.639009 -23.5412184)
60685710,-23.5416285,-46.6393206,,3,764.0,,POINT (-46.6393206 -23.5416285)
60685713,-23.5413203,-46.6389315,traffic_signals,4,761.0,,POINT (-46.6389315 -23.5413203)
